project,month,status,active_devs,num_commits,num_committers,num_files,num_emails,num_senders,num_respondents,skew_c,skew_e,c_percentage,e_percentage,inactive_c,inactive_e,c_nodes,c_edges,c_c_coef,c_mean_degree,c_long_tail,c_triangles,e_nodes,e_edges,e_c_coef,e_mean_degree,e_long_tail,e_triangles,e_bidirected_edges
117,9,Graduated,11,329,2,220,19,9,9,0.4158586480741464,0.21698904599808116,0.851063829787234,0.2631578947368421,0.8823529411764706,0.7083333333333334,2,1,0.0,1.0,0,0.0,10,9,0.0,1.8,4,0.0,14
117,10,Graduated,11,177,3,156,13,8,8,-3.1190938930095324,-0.2581237138147602,0.7966101694915254,0.23076923076923078,0.96,0.88,2,1,0.0,1.0,0,0.0,8,6,0.0,1.5,3,0.0,12
119,1,Graduated,7,18,3,11,35,4,4,2.774148291368039,0.5201454708678922,0.8888888888888888,0.45714285714285713,0.42857142857142855,0.35,2,1,0.0,1.0,0,0.0,4,6,0.8333333333333333,3.0,2,2.0,9
119,2,Graduated,6,1412,3,869,8,3,3,-3.5623079694884248,0.29246691983817813,0.7698300283286119,0.625,0.47368421052631576,0.25,3,3,1.0,2.0,0,1.0,3,2,0.0,1.3333333333333333,1,0.0,4
119,3,Graduated,8,767,2,136,12,6,6,-0.6809552681793144,1.2107252401427273,0.9726205997392438,0.5833333333333334,0.5,0.5,0,0,0,0,0,0,6,7,0.35000000000000003,2.3333333333333335,1,1.0,9
119,4,Graduated,20,183,1,72,140,19,18,0.7172838290549363,-0.2790051703147616,1.0,0.5571428571428572,0.3181818181818182,0.08333333333333333,0,0,0,0,0,0,19,23,0.07134502923976609,2.4210526315789473,2,1.0,37
119,5,Graduated,14,78,1,26,57,13,12,-1.1781729634725238,1.0482318032858173,1.0,0.5964912280701754,0.5333333333333333,0.44,0,0,0,0,0,0,13,12,0.0,1.8461538461538463,3,0.0,20
119,6,Graduated,14,435,3,239,133,11,12,0.18803313749324374,-0.020840342716830964,0.9839080459770115,0.7368421052631579,0.19230769230769232,0.038461538461538464,3,2,0.0,1.3333333333333333,1,0.0,13,12,0.17948717948717946,1.8461538461538463,2,1.0,17
119,7,Graduated,15,103,4,83,132,11,11,0.5573789961650338,-0.07440616923255376,0.8543689320388349,0.6666666666666666,0.5357142857142857,0.17857142857142858,2,1,0.0,1.0,0,0.0,11,17,0.3242424242424242,3.090909090909091,7,5.0,27
119,8,Graduated,4,1,1,1,8,3,3,0,-1.1420405430840506,1.0,0.5,0.0,0.875,0,0,0,0,0,0,3,2,0.0,1.3333333333333333,1,0.0,4
119,9,Graduated,12,17,1,11,51,11,9,-0.1809318425735006,-0.08663505335517788,1.0,0.39215686274509803,0.6875,0.21739130434782608,0,0,0,0,0,0,11,13,0.4,2.3636363636363638,4,2.0,18
119,10,Graduated,13,740,3,285,110,10,11,0.37372241948632456,0.01682754055490753,0.4810810810810811,0.4090909090909091,0.2857142857142857,0.32142857142857145,3,3,1.0,2.0,0,1.0,11,12,0.18787878787878787,2.1818181818181817,2,1.0,16
